file_name,pig_ID,photo_date,pig_hometown,pig_photo_number,pig_length,pig_weight,pig_color,pig_area,pig_photo_area_ratio,pig_photo_angle
length_19cm_weight_0kg_20181126_IMG_4413.jpg,0,20181126,shandong_sishui,1,19cm,0kg,dirty,135876.5,small,14.4730625
length_19cm_weight_0kg_20181126_IMG_4414.jpg,0,20181126,shandong_sishui,2,19cm,0kg,dirty,164401.5,small,177.3968243598938
length_19cm_weight_0kg_20181126_IMG_4415.jpg,0,20181126,shandong_sishui,3,19cm,0kg,dirty,158354.0,small,161.22214698791504
length_19cm_weight_0kg_20181126_IMG_4416.jpg,0,20181126,shandong_sishui,4,19cm,0kg,dirty,148680.5,small,135.88860702514648
length_19cm_weight_0kg_20181126_IMG_4417.jpg,0,20181126,shandong_sishui,5,19cm,0kg,dirty,146432.0,small,113.1583023071289
length_19cm_weight_0kg_20181126_IMG_4418.jpg,0,20181126,shandong_sishui,6,19cm,0kg,dirty,129734.0,small,89.898895
length_19cm_weight_0kg_20181126_IMG_4420.jpg,0,20181126,shandong_sishui,7,19cm,0kg,dirty,120511.5,small,99.23390197753906
length_19cm_weight_0kg_20181126_IMG_4421.jpg,0,20181126,shandong_sishui,8,19cm,0kg,dirty,158911.5,small,131.86667251586914
length_19cm_weight_0kg_20181126_IMG_4422.jpg,0,20181126,shandong_sishui,9,19cm,0kg,dirty,180703.5,small,166.47893810272217
length_19cm_weight_0kg_20181126_IMG_4423.jpg,0,20181126,shandong_sishui,10,19cm,0kg,dirty,179756.0,small,179.6776746213436
length_20cm_weight_0kg_IMG_20181121_110818.jpg,1,20181121,shandong_sishui,1,20cm,0kg,white,169683.0,small,18.711798
length_20cm_weight_0kg_IMG_20181121_110819.jpg,1,20181121,shandong_sishui,2,20cm,0kg,white,118796.5,small,26.102915
length_20cm_weight_0kg_IMG_20181121_110819_1.jpg,1,20181121,shandong_sishui,3,20cm,0kg,white,108852.5,small,28.227253
length_20cm_weight_0kg_IMG_20181121_110821.jpg,1,20181121,shandong_sishui,4,20cm,0kg,white,51386.0,small,36.54246
length_20cm_weight_0kg_IMG_20181121_110822.jpg,1,20181121,shandong_sishui,5,20cm,0kg,white,26565.5,small,58.06036
length_20cm_weight_0kg_IMG_20181121_110824.jpg,1,20181121,shandong_sishui,6,20cm,0kg,white,23850.0,small,85.26861
length_20cm_weight_0kg_IMG_20181121_110825.jpg,1,20181121,shandong_sishui,7,20cm,0kg,white,28404.0,small,85.59538
length_20cm_weight_0kg_IMG_20181121_110828.jpg,1,20181121,shandong_sishui,8,20cm,0kg,white,23550.5,small,111.79051208496094
length_20cm_weight_0kg_IMG_20181121_110830.jpg,1,20181121,shandong_sishui,9,20cm,0kg,white,28953.0,small,144.48786163330078
length_20cm_weight_0kg_IMG_20181121_110832.jpg,1,20181121,shandong_sishui,10,20cm,0kg,white,31636.5,small,163.36035346984863
length_20cm_weight_0kg_IMG_20181121_110836.jpg,1,20181121,shandong_sishui,11,20cm,0kg,white,14663.5,small,156.8383502960205
length_20cm_weight_0kg_IMG_20181121_110837.jpg,1,20181121,shandong_sishui,12,20cm,0kg,white,15035.0,small,151.54617309570312
length_20cm_weight_0kg_IMG_20181121_110840.jpg,1,20181121,shandong_sishui,13,20cm,0kg,white,15105.0,small,140.78842163085938
length_20cm_weight_0kg_IMG_20181121_110842.jpg,1,20181121,shandong_sishui,14,20cm,0kg,white,20198.0,small,143.31840133666992
length_20cm_weight_0kg_IMG_20181121_110843.jpg,1,20181121,shandong_sishui,15,20cm,0kg,white,38952.5,small,141.2609977722168
length_20cm_weight_0kg_IMG_20181121_110847.jpg,1,20181121,shandong_sishui,16,20cm,0kg,white,449671.0,normal,164.33004188537598
length_20cm_weight_0kg_IMG_20181121_110848.jpg,1,20181121,shandong_sishui,17,20cm,0kg,white,548861.5,big,164.07113361358643
length_20cm_weight_0kg_IMG_20181121_110849.jpg,1,20181121,shandong_sishui,18,20cm,0kg,white,346607.0,normal,157.8708381652832
length_20cm_weight_0kg_IMG_20181121_110851.jpg,1,20181121,shandong_sishui,19,20cm,0kg,white,246642.0,normal,137.68234634399414
length_20cm_weight_0kg_IMG_20181121_110852.jpg,1,20181121,shandong_sishui,20,20cm,0kg,white,345141.5,normal,114.3194580078125
length_20cm_weight_0kg_IMG_20181121_110854.jpg,1,20181121,shandong_sishui,21,20cm,0kg,white,346434.5,normal,91.86502838134766
length_20cm_weight_0kg_IMG_20181121_110856.jpg,1,20181121,shandong_sishui,22,20cm,0kg,white,297644.0,normal,61.462837
length_21cm_weight_0kg_IMG_20181121_112919.jpg,2,20181121,shandong_sishui,1,21cm,0kg,light_color,200639.5,small,57.954338
length_21cm_weight_0kg_IMG_20181121_112920.jpg,2,20181121,shandong_sishui,2,21cm,0kg,light_color,122954.5,small,57.642017
length_21cm_weight_0kg_IMG_20181121_112921.jpg,2,20181121,shandong_sishui,3,21cm,0kg,light_color,50558.5,small,50.42639
length_21cm_weight_0kg_IMG_20181121_112923.jpg,2,20181121,shandong_sishui,4,21cm,0kg,light_color,27421.0,small,54.367638
length_21cm_weight_0kg_IMG_20181121_112925.jpg,2,20181121,shandong_sishui,5,21cm,0kg,light_color,21323.5,small,38.250748
length_21cm_weight_0kg_IMG_20181121_112927.jpg,2,20181121,shandong_sishui,6,21cm,0kg,light_color,24693.0,small,44.769196
length_21cm_weight_0kg_IMG_20181121_112928.jpg,2,20181121,shandong_sishui,7,21cm,0kg,light_color,20861.5,small,51.12694
length_21cm_weight_0kg_IMG_20181121_112929.jpg,2,20181121,shandong_sishui,8,21cm,0kg,light_color,21626.5,small,36.174614
